State,Production
California ,"9,918"
Colorado ,"21,098"
Florida ,"5,940"
Idaho ,"143,333"
Maine ,"16,800"
Michigan ,"21,560"
Minnesota ,"18,966"
Nebraska ,"10,731"
North Dakota ,"26,425"
Oregon ,"26,660"
Texas ,"6,716"
Washington ,"103,635"
Wisconsin ,"28,350"
